Date,Positive Total,Positive New,7-day confirmed case average,
3/4/22,1545927,567,789.2857,
3/5/22,1546303,376,758.4286,
3/6/22,1546683,380,739.4286,
3/7/22,1547556,873,701.0000,
3/8/22,1548357,801,674.7143,
3/9/22,1549008,651,630.8571,
3/10/22,1549683,675,617.5714,
3/11/22,1550209,526,611.7143,
3/12/22,1550543,334,605.7143,
3/13/22,1550917,374,604.8571,
3/14/22,1551824,907,609.7143,
3/15/22,1552603,779,606.5714,
3/16/22,1553379,776,624.4286,
3/17/22,1554115,736,633.1429,
3/18/22,1554755,640,649.4286,
3/19/22,1555215,460,667.4286,
3/20/22,1555735,520,688.2857,
3/21/22,1556962,1227,734.0000,
3/22/22,1558117,1155,787.7143,
3/23/22,1559242,1125,837.5714,
3/24/22,1560246,1004,875.8571,
3/25/22,1561067,821,901.7143,
3/26/22,1561668,601,921.8571,
3/27/22,1562362,694,946.7143,
3/28/22,1563848,1486,983.7143,
3/29/22,1565252,1404,1019.2857,
3/30/22,1566723,1471,1068.7143,
3/31/22,1568095,1372,1121.2857,
4/1/22,1569176,1081,1158.4286,
4/2/22,1569879,703,1173.0000,
4/3/22,1570663,784,1185.8571,
4/4/22,1572365,1702,1216.7143,
4/5/22,1574213,1848,1280.1429,
4/6/22,1576102,1889,1339.8571,
4/7/22,1577928,1826,1404.7143,
4/8/22,1579413,1485,1462.4286,
4/9/22,1580430,1017,1507.2857,
4/10/22,1581466,1036,1543.2857,
4/11/22,1584091,2625,1675.1429,
4/12/22,1586595,2504,1768.8571,
4/13/22,1589095,2500,1856.1429,
4/14/22,1591522,2427,1942.0000,
4/15/22,1593442,1920,2004.1429,
4/16/22,1594597,1155,2023.8571,
4/17/22,1595378,781,1987.4286,
4/18/22,1597476,2098,1912.1429,
4/19/22,1600136,2660,1934.4286,
4/20/22,1602651,2515,1936.5714,
4/21/22,1605135,2484,1944.7143,
4/22/22,1607351,2216,1987.0000,
4/23/22,1608707,1356,2015.7143,
4/24/22,1610179,1472,2114.4286,
4/25/22,1613710,3531,2319.1429,
4/26/22,1616947,3237,2401.5714,
4/27/22,1620144,3197,2499.0000,
4/28/22,1623088,2944,2564.7143,
4/29/22,1625665,2577,2616.2857,
4/30/22,1627214,1549,2643.8571,
5/1/22,1628781,1567,2657.4286,
5/2/22,1632814,4033,2729.1429,
5/3/22,1636907,4093,2851.4286,
5/4/22,1640824,3917,2954.2857,
5/5/22,1644744,3920,3093.7143,
5/6/22,1648158,3414,3213.2857,
5/7/22,1650399,2241,3312.1429,
5/8/22,1652515,2116,3390.5714,
5/9/22,1657723,5208,3558.4286,
5/10/22,1662563,4840,3665.1429,
5/11/22,1667367,4804,3791.8571,
5/12/22,1671875,4508,3875.8571,
5/13/22,1675654,3779,3928.0000,
5/14/22,1677956,2302,3936.7143,
5/15/22,1680271,2315,3965.1429,
5/16/22,1685281,5010,3936.8571,
5/17/22,1689648,4367,3869.2857,
5/18/22,1693603,3955,3748.0000,
5/19/22,1697028,3425,3593.2857,
5/20/22,1699911,2883,3465.2857,
5/21/22,1701645,1734,3384.1429,
5/22/22,1703289,1644,3288.2857,
5/23/22,1707147,3858,3123.7143,
5/24/22,1710476,3329,2975.4286,
5/25/22,1713595,3119,2856.0000,
5/26/22,1716155,2560,2732.4286,
5/27/22,1718233,2078,2617.4286,
5/28/22,1719575,1342,2561.4286,
5/29/22,1720652,1077,2480.4286,
5/30/22,1721465,813,2045.4286,
5/31/22,1725091,3626,2087.8571,
6/1/22,1727762,2671,2023.8571,
6/2/22,1730122,2360,1995.2857,
6/3/22,1731971,1849,1962.5714,
6/4/22,1733077,1106,1928.8571,
6/5/22,1734141,1064,1927.0000,
6/6/22,1736331,2190,2123.7143,
6/7/22,1738368,2037,1896.7143,
6/8/22,1740292,1924,1790.0000,
6/9/22,1742041,1749,1702.7143,
6/10/22,1743414,1373,1634.7143,
6/11/22,1744236,822,1594.1429,
6/12/22,1745111,875,1567.1429,
6/13/22,1746913,1802,1511.7143,
6/14/22,1748534,1621,1452.2857,
6/15/22,1750095,1561,1400.4286,
6/16/22,1751497,1402,1350.8571,
6/17/22,1752714,1217,1328.5714,
6/18/22,1753582,868,1335.1429,
6/19/22,1754377,795,1323.7143,
6/20/22,1755766,1389,1264.7143,
6/21/22,1757572,1806,1291.1429,
6/22/22,1759222,1650,1303.8571,
6/23/22,1760739,1517,1320.2857,
6/24/22,1762054,1315,1334.2857,
6/25/22,1762986,932,1343.4286,
6/26/22,1763866,880,1355.5714,
6/27/22,1765591,1725,1403.5714,
6/28/22,1767403,1812,1404.4286,
6/29/22,1769130,1727,1415.4286,
6/30/22,1770691,1561,1421.7143,
7/1/22,1771912,1221,1408.2857,
7/2/22,1772778,866,1398.8571,
7/3/22,1773552,774,1383.7143,
7/4/22,1774031,479,1205.7143,
7/5/22,1776160,2129,1251.0000,
7/6/22,1778023,1863,1270.4286,
7/7/22,1779707,1684,1288.0000,
7/8/22,1781214,1507,1328.8571,
7/9/22,1782258,1044,1354.2857,
7/10/22,1783257,999,1386.4286,
7/11/22,1785111,1854,1582.8571,
7/12/22,1786941,1830,1540.1429,
7/13/22,1788547,1606,1503.4286,
7/14/22,1790095,1548,1484.0000,
7/15/22,1791476,1381,1466.0000,
7/16/22,1792356,880,1442.5714,
7/17/22,1793339,983,1440.2857,
7/18/22,1795233,1894,1446.0000,
7/19/22,1797063,1830,1446.0000,
7/20/22,1798733,1670,1455.1429,
7/21/22,1800282,1549,1455.2857,
7/22/22,1801676,1394,1457.1429,
7/23/22,1802563,887,1458.1429,
7/24/22,1803517,954,1454.0000,
7/25/22,1805288,1771,1436.4286,
7/26/22,1806971,1683,1415.4286,
7/27/22,1808535,1564,1400.2857,
7/28/22,1809952,1417,1381.4286,
7/29/22,1811277,1325,1371.5714,
7/30/22,1812141,864,1368.2857,
7/31/22,1813016,875,1357.0000,
8/1/22,1814675,1659,1341.0000,
8/2/22,1816263,1588,1327.4286,
8/3/22,1817761,1498,1318.0000,
8/4/22,1819114,1353,1308.8571,
8/5/22,1820282,1168,1286.4286,
8/6/22,1821132,850,1284.4286,
8/7/22,1821926,794,1272.8571,
8/8/22,1823568,1642,1270.4286,
8/9/22,1825032,1464,1252.7143,
8/10/22,1826469,1437,1244.0000,
8/11/22,1827721,1252,1229.5714,
8/12/22,1828812,1091,1218.5714,
8/13/22,1829516,704,1197.7143,
8/14/22,1830292,776,1195.1429,
8/15/22,1831734,1442,1166.5714,
8/16/22,1833055,1321,1146.1429,
8/17/22,1834402,1347,1133.2857,
8/18/22,1835650,1248,1132.7143,
8/19/22,1836724,1074,1130.2857,
8/20/22,1837485,761,1138.4286,
8/21/22,1838312,827,1145.7143,
8/22/22,1839783,1471,1149.8571,
8/23/22,1841204,1421,1164.1429,
8/24/22,1842470,1266,1152.5714,
8/25/22,1843619,1149,1138.4286,
8/26/22,1844722,1103,1142.5714,
8/27/22,1845440,718,1136.4286,
8/28/22,1846138,698,1118.0000,
8/29/22,1847489,1351,1100.8571,
8/30/22,1848772,1283,1081.1429,
8/31/22,1849962,1190,1070.2857,
9/1/22,1851035,1073,1059.4286,
9/2/22,1851983,948,1037.2857,
9/3/22,1852593,610,1021.8571,
9/4/22,1853241,648,1014.7143,
9/5/22,1853781,540,898.8571,
9/6/22,1855355,1574,940.4286,
9/7/22,1856715,1360,964.7143,
9/8/22,1857935,1220,985.7143,
9/9/22,1859018,1083,1005.0000,
9/10/22,1859764,746,1024.4286,
9/11/22,1860510,746,1038.4286,
9/12/22,1862226,1716,1206.4286,
9/13/22,1863807,1581,1207.4286,
9/14/22,1865247,1440,1218.8571,
9/15/22,1866598,1351,1237.5714,
9/16/22,1867830,1232,1258.8571,
9/17/22,1868635,805,1267.2857,
9/18/22,1869472,837,1280.2857,
9/19/22,1871194,1722,1281.1429,
9/20/22,1872854,1660,1292.4286,
9/21/22,1874411,1557,1309.1429,
9/22/22,1875719,1308,1303.0000,
9/23/22,1876974,1255,1306.2857,
9/24/22,1877724,750,1298.4286,
9/25/22,1878533,809,1294.4286,
9/26/22,1880200,1667,1286.5714,
9/27/22,1881708,1508,1264.8571,
9/28/22,1883203,1495,1256.0000,
9/29/22,1884535,1332,1259.4286,
9/30/22,1885661,1126,1241.0000,
10/1/22,1886379,718,1236.4286,
10/2/22,1887141,762,1229.7143,
10/3/22,1888597,1456,1199.5714,
10/4/22,1889871,1274,1166.1429,
10/5/22,1891212,1341,1144.1429,
10/6/22,1892528,1316,1141.8571,
10/7/22,1893755,1227,1156.2857,
10/8/22,1894471,716,1156.0000,
10/9/22,1895195,724,1150.5714,
10/10/22,1896272,1077,1096.4286,
10/11/22,1897551,1279,1097.1429,
10/12/22,1898857,1306,1092.1429,
10/13/22,1900102,1245,1082.0000,
10/14/22,1901149,1047,1056.2857,
10/15/22,1901832,683,1051.5714,
10/16/22,1902469,637,1039.1429,
10/17/22,1903754,1285,1068.8571,
10/18/22,1904878,1124,1046.7143,
10/19/22,1905826,948,995.5714,
10/20/22,1906777,951,953.5714,
10/21/22,1907647,870,928.2857,
10/22/22,1908212,565,911.4286,
10/23/22,1908724,512,893.5714,
10/24/22,1909892,1168,876.8571,
10/25/22,1910906,1014,861.1429,
10/26/22,1911863,957,862.4286,
10/27/22,1912717,854,848.5714,
10/28/22,1913458,741,830.1429,
10/29/22,1913956,498,820.5714,
10/30/22,1914431,475,815.2857,
10/31/22,1915412,981,788.5714,
11/1/22,1916347,935,777.2857,
11/2/22,1917272,925,772.7143,
11/3/22,1918103,831,769.4286,
11/4/22,1918844,741,769.4286,
11/5/22,1919373,529,773.8571,
11/6/22,1919909,536,782.5714,
11/7/22,1920904,995,784.5714,
11/8/22,1921686,782,762.7143,
11/9/22,1922424,738,736.0000,
11/10/22,1923104,680,714.4286,
11/11/22,1923698,594,693.4286,
11/12/22,1924174,476,685.8571,
11/13/22,1924593,419,669.1429,
11/14/22,1925404,811,642.8571,
11/15/22,1926122,718,633.7143,
11/16/22,1926770,648,620.8571,
11/17/22,1927409,639,615.0000,
11/18/22,1928034,625,619.4286,
11/19/22,1928460,426,612.2857,
11/20/22,1928940,480,621.0000,
11/21/22,1929837,897,633.2857,
11/22/22,1930691,854,652.7143,
11/23/22,1931359,668,655.5714,
11/24/22,1931605,246,599.4286,
11/25/22,1932303,698,609.8571,
11/26/22,1932863,560,629.0000,
11/27/22,1933515,652,653.5714,
11/28/22,1934537,1022,671.4286,
11/29/22,1934804,267,587.5714,
