Date,Positive Total,Positive New,7-day confirmed case average,
8/1/20,110496,148,271.8571,
8/2/20,110603,107,273.0000,
8/3/20,110959,356,272.5714,
8/4/20,111264,305,270.8571,
8/5/20,111597,333,272.8571,
8/6/20,111951,354,275.4286,
8/7/20,112249,298,272.5714,
8/8/20,112417,168,275.7143,
8/9/20,112502,85,272.2857,
8/10/20,112872,370,274.5714,
8/11/20,113155,283,271.1429,
8/12/20,113459,304,267.0000,
8/13/20,113808,349,266.2857,
8/14/20,114147,339,272.4286,
8/15/20,114298,151,269.8571,
8/16/20,114419,121,274.8571,
8/17/20,114787,368,274.1429,
8/18/20,115163,376,288.0000,
8/19/20,115497,334,292.7143,
8/20/20,115852,355,293.7143,
8/21/20,116132,280,285.2857,
8/22/20,116278,146,284.8571,
8/23/20,116370,92,280.8571,
8/24/20,116765,395,284.7143,
8/25/20,117142,377,284.4286,
8/26/20,117520,378,290.4286,
8/27/20,117860,340,288.7143,
8/28/20,118221,361,300.1429,
8/29/20,118392,171,303.5714,
8/30/20,118531,139,310.2857,
8/31/20,118968,437,316.2857,
9/1/20,119364,396,318.5714,
9/2/20,119748,384,319.2857,
9/3/20,120209,461,336.4286,
9/4/20,120552,343,334.2857,
9/5/20,120750,198,338.0000,
9/6/20,120861,111,334.1429,
9/7/20,121019,158,294.5714,
9/8/20,121561,542,316.2857,
9/9/20,122033,472,329.1429,
9/10/20,122441,408,321.2857,
9/11/20,122848,407,330.0000,
9/12/20,123035,187,328.7143,
9/13/20,123195,160,335.7143,
9/14/20,123697,502,384.5714,
9/15/20,124119,422,367.0000,
9/16/20,124530,411,358.2857,
9/17/20,124883,353,350.5714,
9/18/20,125319,436,354.4286,
9/19/20,125521,202,356.2857,
9/20/20,125662,141,353.4286,
9/21/20,126086,424,342.5714,
9/22/20,126591,505,354.5714,
9/23/20,127149,558,375.5714,
9/24/20,127743,594,410.1429,
9/25/20,128292,549,426.8571,
9/26/20,128656,364,450.0000,
9/27/20,128881,225,461.8571,
9/28/20,129744,863,524.7143,
9/29/20,130457,713,555.0000,
9/30/20,131069,612,562.5714,
10/1/20,131750,681,574.8571,
10/2/20,132311,561,576.5714,
10/3/20,132716,405,582.8571,
10/4/20,133004,288,592.5714,
10/5/20,133751,747,575.8571,
10/6/20,134485,734,577.8571,
10/7/20,135202,717,593.2857,
10/8/20,136032,830,614.8571,
10/9/20,136715,683,632.5714,
10/10/20,137124,409,633.2857,
10/11/20,137387,263,629.2857,
10/12/20,137977,590,606.8571,
10/13/20,138759,782,614.2857,
10/14/20,139649,890,639.7143,
10/15/20,140593,944,656.2857,
10/16/20,141454,861,681.5714,
10/17/20,141994,540,700.2857,
10/18/20,142322,328,709.8571,
10/19/20,143394,1072,779.2857,
10/20/20,144507,1113,826.8571,
10/21/20,145695,1188,869.8571,
10/22/20,147058,1363,930.7143,
10/23/20,148272,1214,981.8571,
10/24/20,149057,785,1016.8571,
10/25/20,149539,482,1038.7143,
10/26/20,151053,1514,1102.4286,
10/27/20,152385,1332,1134.7143,
10/28/20,153812,1427,1169.0000,
10/29/20,155183,1371,1170.2857,
10/30/20,156298,1115,1156.1429,
10/31/20,157163,865,1167.8571,
